object_code,object_id,room_id,floor_id,class,file,cluster_id,center_x,center_y,center_z,size_x,size_y,size_z,yaw_rad
0-7-0,0,7,0,table,table_005.ply,0,2.017189,2.279194,0.347649,1.027471,0.675671,0.061175,-1.628949
0-7-1,1,7,0,table,table_005.ply,1,3.992133,0.910388,0.366279,0.992007,0.863703,0.097189,1.321654
0-7-2,2,7,0,table,table_005.ply,2,-1.547648,1.168577,0.583585,0.565884,0.375793,0.047067,-1.636744
0-7-3,3,7,0,shell,shell_005.ply,0,2.652021,3.061200,1.293414,6.197865,5.346501,2.769960,-1.613458
0-7-4,4,7,0,plant,plant_005.ply,0,-0.110593,1.837477,-0.030702,0.275277,0.159537,0.121539,1.517291
0-7-5,5,7,0,plant,plant_005.ply,1,0.001148,4.336920,0.002095,0.458745,0.176709,0.186275,-1.539908
0-7-6,6,7,0,plant,plant_005.ply,2,0.006092,4.312743,0.281052,0.226416,0.176281,0.186835,-1.608129
0-7-7,7,7,0,plant,plant_005.ply,3,0.233810,5.051522,0.184859,0.246817,0.127380,0.420344,-1.601680
0-7-8,8,7,0,plant,plant_005.ply,4,0.068624,5.345789,0.243441,0.248272,0.107057,0.181193,-1.586602
0-7-9,9,7,0,plant,plant_005.ply,5,0.068816,5.171886,0.632838,0.521232,0.107167,0.411088,1.539880
0-7-10,10,7,0,plant,plant_005.ply,6,0.049625,5.636752,0.083413,0.207469,0.069829,0.190997,-1.567448
0-7-11,11,7,0,combined,combined_005.ply,0,2.353227,1.002991,2.412685,3.937998,0.191893,0.175574,3.083405
0-7-12,12,7,0,combined,combined_005.ply,1,2.914448,1.919010,2.462258,2.764995,0.181652,0.135526,-0.059856
0-7-13,13,7,0,combined,combined_005.ply,2,1.968020,3.021970,1.237922,4.864687,2.137969,2.503197,0.306489
0-7-14,14,7,0,combined,combined_005.ply,3,2.713881,0.310225,1.259217,4.799761,0.870318,2.701510,-3.138931
0-7-15,15,7,0,combined,combined_005.ply,4,4.417371,4.079545,1.102542,1.166480,1.099721,2.194893,1.494431
0-7-16,16,7,0,combined,combined_005.ply,5,1.628615,-6.717753,1.152672,2.179152,1.121356,2.248746,2.964443
0-7-17,17,7,0,combined,combined_005.ply,6,1.826108,5.715518,1.131527,2.670526,1.070892,2.233681,-0.048016
0-7-18,18,7,0,combined,combined_005.ply,7,4.084650,1.816693,0.450288,2.452563,2.128868,0.900277,-0.898534
0-7-19,19,7,0,combined,combined_005.ply,8,2.017189,2.279194,0.347649,1.027471,0.675671,0.061175,-1.628949
0-7-20,20,7,0,chair,chair_005.ply,0,2.088265,3.612407,0.245510,0.543854,0.248556,0.440406,-1.778414
0-7-21,21,7,0,chair,chair_005.ply,1,2.582495,3.961602,0.825500,0.486881,0.206145,0.331319,-0.773327
0-7-22,22,7,0,chair,chair_005.ply,2,0.871562,3.476204,0.217817,0.476536,0.092028,0.442299,-1.697179
0-7-23,23,7,0,floor,floor_005.ply,0,2.395946,2.986153,0.021243,5.319590,3.879592,0.103471,1.510367
0-7-24,24,7,0,floor,floor_005.ply,1,2.638216,5.337048,2.839891,2.366214,1.599786,0.081326,-0.038326
0-7-25,25,7,0,monitor,monitor_005.ply,0,0.776976,1.090283,1.108902,0.766581,0.066928,0.419998,2.216292
0-7-26,26,7,0,ceiling,ceiling_005.ply,0,2.250324,0.612555,2.588763,3.929457,0.636971,0.145023,3.082129
0-7-27,27,7,0,ceiling,ceiling_005.ply,1,2.071591,-2.361645,2.749598,3.860096,3.387420,0.116092,3.074567
0-7-28,28,7,0,ceiling,ceiling_005.ply,2,2.275484,1.486178,2.648016,3.911849,0.799496,0.089341,3.080025
0-7-29,29,7,0,ceiling,ceiling_005.ply,3,2.390526,3.340381,2.665999,3.856944,0.847142,0.113275,3.103925
0-7-30,30,7,0,ceiling,ceiling_005.ply,4,2.354419,2.411703,2.642914,3.943811,0.775243,0.078722,3.086229
0-7-31,31,7,0,ceiling,ceiling_005.ply,5,2.503573,5.203692,2.738878,3.834152,0.725080,0.151431,-0.058161
0-7-32,32,7,0,ceiling,ceiling_005.ply,6,2.446874,4.289181,2.715479,3.765410,0.819837,0.102882,-0.056207
0-7-33,33,7,0,ceiling,ceiling_005.ply,7,3.382498,4.513987,2.813756,1.292098,0.764621,0.054384,1.523577
0-7-34,34,7,0,ceiling,ceiling_005.ply,8,1.667419,5.239627,2.807026,2.319484,1.960262,0.085509,-0.058659
0-7-35,35,7,0,door,door_005.ply,0,4.417371,4.079545,1.102542,1.166480,1.099721,2.194893,1.494431
0-7-36,36,7,0,door,door_005.ply,1,5.079717,5.686100,0.494539,0.437583,0.277960,0.941108,0.866230
0-7-37,37,7,0,door,door_005.ply,2,3.536398,5.462249,1.116041,1.659323,0.428928,2.175485,3.031096
0-7-38,38,7,0,door,door_005.ply,3,1.586578,5.661085,1.093424,1.345864,0.537201,2.157475,0.281679
0-7-39,39,7,0,door,door_005.ply,4,4.763729,0.109944,0.944365,1.015347,0.787844,2.071806,-2.247339
0-7-40,40,7,0,couch,couch_005.ply,0,3.732690,2.275564,0.450288,2.087422,1.794106,0.900277,1.509751
0-7-41,41,7,0,couch,couch_005.ply,1,-2.011427,-0.583353,0.320209,0.727761,0.689368,0.667771,-0.853983
0-7-42,42,7,0,couch,couch_005.ply,2,2.415980,1.736762,0.318992,0.737526,0.621574,0.638200,0.932562
0-7-43,43,7,0,window,window_005.ply,0,0.505949,2.402965,1.289421,2.162627,1.204718,2.280346,-1.683957
0-7-44,44,7,0,window,window_005.ply,1,4.915827,0.032009,1.916600,0.402023,0.231735,1.252875,3.120829
0-7-45,45,7,0,window,window_005.ply,2,3.258595,0.295653,1.589786,2.764326,0.721841,2.040372,3.076849
0-7-46,46,7,0,window,window_005.ply,3,2.338820,1.005646,2.392627,3.909046,0.189270,0.135458,3.082083
0-7-47,47,7,0,window,window_005.ply,4,1.252929,0.301497,1.545235,1.900768,0.482546,2.010712,-0.059461
0-7-48,48,7,0,walls,walls_005.ply,0,2.390614,4.554930,1.409512,4.119707,3.252027,2.817745,-0.051479
0-7-49,49,7,0,walls,walls_005.ply,1,2.206997,1.303418,1.314768,4.028752,1.541622,2.681721,0.039846
0-7-50,50,7,0,walls,walls_005.ply,2,2.039086,0.493031,1.305864,1.998460,0.332998,2.611606,-0.045548
0-7-51,51,7,0,walls,walls_005.ply,3,2.337271,2.405505,2.506820,3.902971,0.823244,0.335571,3.095261
0-7-52,52,7,0,walls,walls_005.ply,4,3.819088,4.945251,2.962216,2.331310,0.562286,0.332283,1.758697
0-7-53,53,7,0,walls,walls_005.ply,5,3.612345,5.492645,0.528072,1.781050,0.254690,0.982946,-0.035810
0-7-54,54,7,0,walls,walls_005.ply,6,2.929782,4.366335,2.952978,1.184529,0.217954,0.350769,1.624885
0-7-55,55,7,0,walls,walls_005.ply,7,3.170504,0.351906,2.917010,2.073522,0.366084,0.422657,2.909723
0-7-56,56,7,0,walls,walls_005.ply,8,0.709440,2.157399,1.518411,7.475591,3.576286,3.219954,2.132154
0-7-57,57,7,0,curtain,curtain_005.ply,0,0.490140,3.072817,1.248482,0.669112,0.314194,2.002996,1.309083
0-7-58,58,7,0,curtain,curtain_005.ply,1,4.245624,0.280413,1.457508,0.638270,0.291458,2.016131,-3.141555
0-7-59,59,7,0,curtain,curtain_005.ply,2,0.718029,0.467944,1.589983,0.532382,0.262555,1.800304,-3.066635
0-7-60,60,7,0,curtain,curtain_005.ply,3,0.401109,1.659390,1.335218,0.458348,0.227839,1.770291,1.156984
