file,cluster_id,center_x,center_y,center_z,size_x,size_y,size_z,yaw_rad
shell_001.ply,0,4.494459,10.649076,4.801882,4.132133,2.363620,4.346936,-2.007547
window_001.ply,0,4.066220,9.260835,4.862739,0.688246,0.100533,0.066364,-0.049710
window_001.ply,1,5.135036,12.372388,3.894608,0.503610,0.246144,0.529514,-0.434140
door_001.ply,0,4.056761,8.969593,4.005428,1.000024,0.337478,2.012080,-0.135048
